"TimeStamp","RocketName","freq","counter","state","gps_latitude","gps_longitude","altitude","apogee","voltageMon","last_ack","last_nack","RSSI","SNR","PacketLength"
"14:28:13","<2>",921,134,"IDLE_SAFE",15.036231,100.912301,127.367,9.2219,0,3,0,-109,-1.5,72
"14:28:15","<2>",921,135,"IDLE_SAFE",15.036231,100.912301,127.2472,9.2219,0,3,0,-110,-2,72
"14:28:17","<2>",921,136,"IDLE_SAFE",15.036231,100.912301,127.1552,9.2219,0,3,0,-102,3,72
"14:28:19","<2>",921,137,"IDLE_SAFE",15.036231,100.912301,127.2241,9.2219,0,3,0,-106,1,72
"14:29:27","<2>",921,171,"IDLE_SAFE",15.036231,100.912301,127.4513,9.2219,0,3,0,-110,-2,72
"14:33:01","<2>",921,22,"IDLE_SAFE",15.036215,100.912339,127.9639,9.2219,0,3,0,-110,-2,71
"14:33:03","<2>",921,23,"IDLE_SAFE",15.036215,100.912339,127.9716,9.2219,0,3,0,-111,-2.25,71
"14:33:05","<2>",921,24,"IDLE_SAFE",15.036215,100.912339,127.9094,9.2219,0,3,0,-110,-2.75,71
"14:40:35","<2>",921,249,"IDLE_SAFE",15.036214,100.912368,125.3709,9.2219,0,3,0,-50,4,72
"14:40:37","<2>",921,250,"IDLE_SAFE",15.036214,100.912368,125.706,9.2219,0,3,0,-50,7.5,72
"14:40:39","<2>",921,251,"IDLE_SAFE",15.036214,100.912368,125.3524,9.2219,0,3,0,-52,7.25,72
"14:40:41","<2>",921,252,"IDLE_SAFE",15.036214,100.912368,125.2609,9.2219,0,3,0,-61,6.75,72
"14:40:43","<2>",921,253,"IDLE_SAFE",15.036214,100.912368,125.6325,9.2219,0,3,0,-56,7.75,72
"14:40:45","<2>",921,254,"IDLE_SAFE",15.036214,100.912368,125.3077,9.2219,0,3,0,-58,5.5,72
"14:40:47","<2>",921,255,"IDLE_SAFE",15.036214,100.912368,125.3035,9.2219,0,3,0,-61,5.25,72
"14:40:49","<2>",921,0,"IDLE_SAFE",15.036214,100.912368,125.4732,9.2219,0,3,0,-64,8,70
"14:40:51","<2>",921,1,"IDLE_SAFE",15.036214,100.912368,125.6413,9.2219,0,3,0,-57,7.25,70
"14:40:53","<2>",921,2,"IDLE_SAFE",15.036214,100.912368,125.4038,9.2219,0,3,0,-57,7,70
"14:40:55","<2>",921,3,"IDLE_SAFE",15.036214,100.912368,125.6037,9.2219,0,3,0,-66,7.25,70
"14:40:57","<2>",921,4,"IDLE_SAFE",15.036214,100.912368,125.5667,9.2219,0,3,0,-64,2.75,70
"14:40:59","<2>",921,5,"IDLE_SAFE",15.036214,100.912368,125.5169,9.2219,0,3,0,-63,3.25,70
"14:41:01","<2>",921,6,"IDLE_SAFE",15.036214,100.912368,125.1406,9.2219,0,3,0,-62,3.25,70
"14:41:03","<2>",921,7,"IDLE_SAFE",15.036214,100.912368,125.4449,9.2219,0,3,0,-57,6.75,70
"14:41:05","<2>",921,8,"IDLE_SAFE",15.036214,100.912368,125.4377,9.2219,0,3,0,-58,7.25,70
"14:41:07","<2>",921,9,"IDLE_SAFE",15.036214,100.912368,125.4048,9.2219,0,3,0,-57,7,70
"14:41:09","<2>",921,10,"IDLE_SAFE",15.036214,100.912368,125.5904,9.2219,0,3,0,-59,7.25,71
"14:41:11","<2>",921,11,"IDLE_SAFE",15.036214,100.912368,125.3097,9.2219,0,3,0,-58,3.5,71
"14:41:13","<2>",921,12,"IDLE_SAFE",15.036214,100.912368,125.4218,9.2219,0,3,0,-66,6.5,71
"14:41:15","<2>",921,13,"IDLE_SAFE",15.036214,100.912368,125.4917,9.2219,0,3,0,-62,5.25,71
"14:41:17","<2>",921,14,"IDLE_SAFE",15.036214,100.912368,125.4326,9.2219,0,3,0,-53,7.5,71
"14:41:19","<2>",921,15,"IDLE_SAFE",15.036214,100.912368,125.3668,9.2219,0,3,0,-56,6,71
"14:41:21","<2>",921,16,"IDLE_SAFE",15.036214,100.912368,125.4398,9.2219,0,3,0,-52,6.75,71
"14:41:23","<2>",921,17,"IDLE_SAFE",15.036214,100.912368,125.4495,9.2219,0,3,0,-55,6.5,71
"14:41:25","<2>",921,18,"IDLE_SAFE",15.036214,100.912368,125.6063,9.2219,0,3,0,-56,4.75,71
"14:41:27","<2>",921,19,"IDLE_SAFE",15.036214,100.912368,125.3945,9.2219,0,3,0,-54,7,71
"14:41:29","<2>",921,20,"IDLE_SAFE",15.036214,100.912368,125.5251,9.2219,0,3,0,-54,6.75,71
"14:41:31","<2>",921,21,"IDLE_SAFE",15.036214,100.912368,125.2614,9.2219,0,3,0,-58,6.75,71
"14:41:33","<2>",921,22,"IDLE_SAFE",15.036214,100.912368,125.3292,9.2219,0,3,0,-56,6.5,71
"14:41:35","<2>",921,23,"IDLE_SAFE",15.036214,100.912368,125.6839,9.2219,0,3,0,-62,5.75,71
"14:41:37","<2>",921,24,"IDLE_SAFE",15.036214,100.912368,125.3693,9.2219,0,3,0,-55,6.25,71
"14:41:39","<2>",921,25,"IDLE_SAFE",15.036214,100.912368,125.3406,9.2219,0,3,0,-52,6.25,71
"14:41:41","<2>",921,26,"IDLE_SAFE",15.036214,100.912368,125.4454,9.2219,0,3,0,-54,6.5,71
"14:41:43","<2>",921,27,"IDLE_SAFE",15.036214,100.912368,125.5729,9.2219,0,3,0,-57,5.5,71
"14:41:45","<2>",921,28,"IDLE_SAFE",15.036214,100.912368,125.6603,9.2219,0,3,0,-53,6,71
"14:41:47","<2>",921,29,"IDLE_SAFE",15.036214,100.912368,125.8813,9.2219,0,3,0,-60,6.75,71
"14:41:49","<2>",921,30,"IDLE_SAFE",15.036214,100.912368,125.6222,9.2219,0,3,0,-70,5.75,71
"14:41:51","<2>",921,31,"IDLE_SAFE",15.036214,100.912368,125.7271,9.2219,0,3,0,-61,6.5,71
"14:41:53","<2>",921,32,"IDLE_SAFE",15.036214,100.912368,125.5153,9.2219,0,3,0,-57,6.75,71
"14:41:55","<2>",921,33,"IDLE_SAFE",15.036214,100.912368,125.4125,9.2219,0,3,0,-57,6.5,71
"14:41:57","<2>",921,34,"IDLE_SAFE",15.036214,100.912368,125.4747,9.2219,0,3,0,-75,7,71
"14:41:59","<2>",921,35,"IDLE_SAFE",15.036214,100.912368,125.5035,9.2219,0,3,0,-65,7,71
"14:42:01","<2>",921,36,"IDLE_SAFE",15.036214,100.912368,125.7317,9.2219,0,3,0,-61,6.25,71
"14:42:03","<2>",921,37,"IDLE_SAFE",15.036214,100.912368,125.3452,9.2219,0,3,0,-70,6.5,71
"14:42:05","<2>",921,38,"IDLE_SAFE",15.036214,100.912368,125.4871,9.2219,0,3,0,-55,7.5,71
"14:42:07","<2>",921,39,"IDLE_SAFE",15.036214,100.912368,125.706,9.2219,0,3,0,-69,6.5,71
"14:42:09","<2>",921,40,"IDLE_SAFE",15.036214,100.912368,125.7821,9.2219,0,3,0,-64,7.25,71
